Neuron_id,No of cells around Neuron
Neuron_1,1
Neuron_2,3
Neuron_3,4
Neuron_4,5
Neuron_5,3
Neuron_6,6
Neuron_7,4
Neuron_8,4
Neuron_9,6
Neuron_10,6
Neuron_11,4
Neuron_12,3
Neuron_13,6
Neuron_14,5
Neuron_15,4
Neuron_16,7
Neuron_17,4
Neuron_18,2
Neuron_19,3
Neuron_20,3
Neuron_21,6
Neuron_22,4
Neuron_23,3
Neuron_24,2
Neuron_25,3
Neuron_26,4
Neuron_27,3
Neuron_28,4
Neuron_29,5
Neuron_30,6
Neuron_31,2
Neuron_32,4
Neuron_33,3
Neuron_34,3
Neuron_35,4
Neuron_36,4
Neuron_37,6
Neuron_38,5
Neuron_39,3
Neuron_40,4
Neuron_41,5
Neuron_42,4
Neuron_43,2
Neuron_44,6
Neuron_45,3
Neuron_46,6
Neuron_47,3
Neuron_48,2
Neuron_49,5
Neuron_50,4
Neuron_51,3
Neuron_52,3
Neuron_53,3
Neuron_54,3
Neuron_55,2
Neuron_56,4
Neuron_57,6
Neuron_58,4
Neuron_59,4
Neuron_60,3
Neuron_61,3
Neuron_62,2
Neuron_63,4
Neuron_64,4
Neuron_65,5
Neuron_66,5
Neuron_67,2
Neuron_68,4
Neuron_69,6
Neuron_70,3
Neuron_71,6
Neuron_72,4
Neuron_73,6
Neuron_74,5
Neuron_75,5
Neuron_76,3
Neuron_77,4
Neuron_78,4
Neuron_79,3
Neuron_80,4
Neuron_81,4
Neuron_82,4
Neuron_83,2
