 ,X,Y
1,973.624,13.626
2,41.619,12.373
3,180.684,11.236
4,332.886,10.277
5,680.312,14.654
6,1042.623,12.037
7,1079.335,16.158
8,1019.076,12.623
9,572.016,16.097
10,202.053,14.924
11,456.193,16.130
12,22.758,19.354
13,240.933,21.351
14,358.131,21.364
15,421.289,16.497
16,518.763,19.087
17,863.664,17.989
18,1061.060,16.365
19,302.739,22.104
20,1006.594,21.202
21,323.957,23.552
22,376.602,23.856
23,410.396,24.757
24,709.087,26.755
25,192.403,27.777
26,224.268,27.357
27,342.413,28.569
28,436.341,22.806
29,839.362,28.606
30,1046.231,25.947
31,208.365,28.241
32,172.564,30.777
33,401.981,29.710
34,499.715,30.404
35,1066.235,35.461
36,38.360,30.409
37,271.236,34.426
38,1019.693,31.920
39,57.726,36.717
40,480.938,36.709
41,522.234,37.365
42,863.223,41.400
43,1093.006,37.225
44,21.076,37.672
45,437.194,38.489
46,982.346,42.672
47,34.045,39.043
48,457.787,42.307
49,703.473,48.920
50,1000.664,40.730
51,359.494,41.868
52,389.680,42.779
53,730.949,45.311
54,1032.253,45.870
55,849.629,48.319
56,1049.278,46.004
57,373.897,48.741
58,414.902,50.123
59,220.353,51.744
60,541.201,50.518
61,201.974,52.285
62,516.843,50.169
63,1092.974,56.048
64,355.123,54.414
65,1074.181,52.952
66,40.219,56.749
67,63.143,55.033
68,264.467,59.310
69,721.277,58.921
70,1059.469,61.822
71,1115.560,61.030
72,237.470,62.004
73,528.066,60.587
74,1017.614,61.171
75,287.561,64.106
76,560.220,65.943
77,389.795,64.751
78,999.890,68.831
79,1042.702,67.941
80,429.366,71.696
81,857.214,69.566
82,598.355,80.959
83,734.351,75.836
84,59.731,73.830
85,377.537,76.110
86,544.623,73.451
87,1076.874,76.858
88,256.593,75.627
89,1050.323,78.947
90,45.898,77.652
91,81.794,82.498
92,365.941,83.381
93,404.945,80.040
94,712.351,87.267
95,276.583,82.745
96,1102.046,81.976
97,35.851,85.236
98,554.488,86.126
99,295.504,90.094
100,390.771,90.443
101,856.929,92.347
102,880.037,92.984
103,536.256,94.712
104,1073.871,91.911
105,60.514,96.437
106,1039.835,93.318
107,1133.830,95.715
108,255.621,97.171
109,432.362,95.968
110,1056.885,94.508
111,1107.813,97.721
112,571.796,98.957
113,1031.567,101.287
114,737.965,105.052
115,755.139,103.771
116,926.822,104.521
117,418.194,106.793
118,1070.002,103.242
119,1091.024,102.948
120,74.413,111.864
121,281.835,104.790
122,400.016,105.967
123,890.572,108.926
124,945.419,111.202
125,100.440,114.101
126,265.499,115.098
127,380.613,113.170
128,439.609,108.778
129,612.912,116.910
130,862.888,116.982
131,299.771,116.492
132,555.498,119.624
133,875.829,116.825
134,1005.835,116.376
135,1055.483,115.895
136,1130.643,117.305
137,767.682,116.979
138,572.349,122.142
139,911.133,120.231
140,1033.891,121.084
141,1115.542,119.080
142,1099.622,122.319
143,282.706,123.357
144,592.053,128.092
145,1158.424,124.475
146,444.428,128.960
147,736.983,127.716
148,1048.868,128.991
149,894.532,130.475
150,977.817,128.539
151,1069.244,130.731
152,379.808,131.698
153,937.223,131.379
154,92.684,134.040
155,750.726,133.800
156,413.690,137.009
157,433.624,137.223
158,1002.415,135.133
159,316.072,135.039
160,1133.480,133.019
161,283.067,137.377
162,768.182,137.341
163,299.079,142.050
164,956.653,138.022
165,1021.455,140.219
166,785.858,145.481
167,873.160,140.215
168,110.211,146.328
169,72.657,146.343
170,978.309,147.688
171,389.417,147.957
172,856.146,149.792
173,593.618,149.367
174,93.279,152.319
175,317.406,154.264
176,423.832,155.088
177,454.956,156.623
178,992.563,154.646
179,1143.971,157.257
180,612.683,156.573
181,290.426,158.765
182,1011.218,165.536
183,397.870,161.788
184,94.584,167.254
185,779.067,168.981
186,974.164,168.003
187,113.332,167.536
188,442.865,172.555
189,609.186,174.905
190,1040.937,175.669
191,592.089,180.766
192,300.291,178.666
193,325.168,181.265
194,796.120,181.375
195,458.794,184.490
196,762.411,179.132
197,890.138,183.249
198,828.168,181.818
199,871.034,184.140
200,427.905,186.135
201,630.916,186.517
202,971.259,186.077
203,995.579,187.237
204,97.358,185.768
205,411.131,186.386
206,12.487,190.671
207,847.066,192.169
208,1036.623,189.033
209,118.089,189.858
210,616.383,192.705
211,774.795,195.251
212,764.042,201.574
213,984.909,199.583
214,594.242,207.608
215,1017.136,204.054
216,329.608,204.264
217,441.438,206.417
218,808.179,206.653
219,129.440,208.707
220,94.913,207.696
221,309.975,211.266
222,612.878,213.860
223,871.553,208.623
224,890.172,209.945
225,32.202,211.824
226,9.120,211.837
227,470.256,214.847
228,112.518,215.823
229,640.099,215.915
230,423.558,218.685
231,458.008,218.267
232,791.899,218.173
233,25.559,221.101
234,1004.435,225.067
235,317.310,224.445
236,439.933,227.523
237,337.855,231.041
238,816.551,225.937
239,889.997,227.706
240,137.587,227.096
241,799.834,231.257
242,585.206,234.835
243,781.154,232.355
244,1030.495,229.349
245,37.228,238.562
246,460.664,237.689
247,611.359,234.015
248,635.962,231.448
249,119.593,237.894
250,672.213,234.079
251,568.260,242.060
252,623.247,239.943
253,651.769,240.853
254,155.595,239.829
255,317.084,243.556
256,816.774,248.796
257,431.872,250.541
258,639.567,247.001
259,667.215,250.902
260,682.107,250.472
261,168.850,253.295
262,606.638,253.789
263,912.224,258.113
264,795.601,252.759
265,347.170,255.526
266,18.976,256.971
267,330.315,257.784
268,555.502,257.949
269,1010.473,255.902
270,129.833,257.866
271,113.701,262.055
272,642.018,261.280
273,659.324,262.868
274,585.471,267.179
275,34.347,268.229
276,151.900,264.196
277,1080.764,266.753
278,1031.010,273.512
279,447.417,271.061
280,627.017,268.640
281,824.191,278.319
282,461.266,277.087
283,123.776,275.057
284,143.423,273.378
285,181.346,272.949
286,330.698,274.640
287,672.528,277.902
288,362.151,277.706
289,598.113,277.819
290,163.630,286.231
291,344.651,281.720
292,654.981,279.948
293,930.840,281.915
294,611.131,283.927
295,629.256,281.590
296,1081.911,284.181
297,181.768,283.327
298,577.991,284.187
299,203.555,288.892
300,443.619,289.745
301,648.414,288.915
302,142.842,287.220
303,562.536,294.120
304,599.113,291.174
305,670.943,292.616
