 ,X,Y
1,973.624,13.626
2,41.619,12.373
3,180.684,11.236
4,332.886,10.277
5,680.312,14.654
6,1079.335,16.158
7,1019.076,12.623
8,572.016,16.097
9,202.053,14.924
10,456.193,16.130
11,22.758,19.354
12,240.933,21.351
13,358.131,21.364
14,421.289,16.497
15,518.763,19.087
16,863.664,17.989
17,302.739,22.104
18,1006.594,21.202
19,323.957,23.552
20,376.602,23.856
21,410.396,24.757
22,709.087,26.755
23,192.403,27.777
24,224.268,27.357
25,342.413,28.569
26,436.341,22.806
27,839.362,28.606
28,1046.231,25.947
29,208.365,28.241
30,172.564,30.777
31,401.981,29.710
32,499.715,30.404
33,1066.235,35.461
34,38.360,30.409
35,271.236,34.426
36,1019.693,31.920
37,57.726,36.717
38,480.938,36.709
39,522.234,37.365
40,863.223,41.400
41,1093.006,37.225
42,21.076,37.672
43,437.194,38.489
44,982.346,42.672
45,34.045,39.043
46,457.787,42.307
47,703.473,48.920
48,1000.664,40.730
49,359.494,41.868
50,389.680,42.779
51,730.949,45.311
52,1032.253,45.870
53,849.629,48.319
54,1049.278,46.004
55,414.902,50.123
56,220.353,51.744
57,541.201,50.518
58,201.974,52.285
59,516.843,50.169
60,1092.974,56.048
61,355.123,54.414
62,40.219,56.749
63,63.143,55.033
64,264.467,59.310
65,721.277,58.921
66,1059.469,61.822
67,1115.560,61.030
68,237.470,62.004
69,528.066,60.587
70,1017.614,61.171
71,287.561,64.106
72,560.220,65.943
73,389.795,64.751
74,999.890,68.831
75,1042.702,67.941
76,429.366,71.696
77,857.214,69.566
78,598.355,80.959
79,734.351,75.836
80,59.731,73.830
81,377.537,76.110
82,544.623,73.451
83,1076.874,76.858
84,256.593,75.627
85,45.898,77.652
86,81.794,82.498
87,365.941,83.381
88,404.945,80.040
89,712.351,87.267
90,276.583,82.745
91,1102.046,81.976
92,35.851,85.236
93,554.488,86.126
94,295.504,90.094
95,390.771,90.443
96,856.929,92.347
97,880.037,92.984
98,536.256,94.712
99,1073.871,91.911
100,60.514,96.437
101,1039.835,93.318
102,1133.830,95.715
103,255.621,97.171
104,432.362,95.968
105,1056.885,94.508
106,1107.813,97.721
107,571.796,98.957
108,1031.567,101.287
109,737.965,105.052
110,755.139,103.771
111,926.822,104.521
112,418.194,106.793
113,1070.002,103.242
114,1091.024,102.948
115,74.413,111.864
116,281.835,104.790
117,400.016,105.967
118,890.572,108.926
119,945.419,111.202
120,100.440,114.101
121,265.499,115.098
122,380.613,113.170
123,439.609,108.778
124,612.912,116.910
125,862.888,116.982
126,299.771,116.492
127,555.498,119.624
128,875.829,116.825
129,1005.835,116.376
130,1055.483,115.895
131,1130.643,117.305
132,767.682,116.979
133,572.349,122.142
134,911.133,120.231
135,1033.891,121.084
136,1115.542,119.080
137,1099.622,122.319
138,282.706,123.357
139,592.053,128.092
140,1158.424,124.475
141,444.428,128.960
142,736.983,127.716
143,1048.868,128.991
144,894.532,130.475
145,977.817,128.539
146,1069.244,130.731
147,379.808,131.698
148,937.223,131.379
149,92.684,134.040
150,750.726,133.800
151,413.690,137.009
152,433.624,137.223
153,1002.415,135.133
154,316.072,135.039
155,1133.480,133.019
156,283.067,137.377
157,768.182,137.341
158,299.079,142.050
159,956.653,138.022
160,1021.455,140.219
161,785.858,145.481
162,873.160,140.215
163,110.211,146.328
164,72.657,146.343
165,978.309,147.688
166,389.417,147.957
167,856.146,149.792
168,593.618,149.367
169,93.279,152.319
170,317.406,154.264
171,423.832,155.088
172,454.956,156.623
173,992.563,154.646
174,1143.971,157.257
175,290.426,158.765
176,1011.218,165.536
177,397.870,161.788
178,94.584,167.254
179,779.067,168.981
180,974.164,168.003
181,113.332,167.536
182,442.865,172.555
183,609.186,174.905
184,1040.937,175.669
185,592.089,180.766
186,300.291,178.666
187,325.168,181.265
188,796.120,181.375
189,458.794,184.490
190,762.411,179.132
191,890.138,183.249
192,828.168,181.818
193,871.034,184.140
194,427.905,186.135
195,630.916,186.517
196,971.259,186.077
197,995.579,187.237
198,97.358,185.768
199,411.131,186.386
200,12.487,190.671
201,847.066,192.169
202,1036.623,189.033
203,118.089,189.858
204,616.383,192.705
205,774.795,195.251
206,764.042,201.574
207,984.909,199.583
208,594.242,207.608
209,1017.136,204.054
210,329.608,204.264
211,441.438,206.417
212,808.179,206.653
213,129.440,208.707
214,94.913,207.696
215,309.975,211.266
216,612.878,213.860
217,871.553,208.623
218,890.172,209.945
219,32.202,211.824
220,9.120,211.837
221,470.256,214.847
222,112.518,215.823
223,640.099,215.915
224,423.558,218.685
225,458.008,218.267
226,791.899,218.173
227,25.559,221.101
228,1004.435,225.067
229,317.310,224.445
230,439.933,227.523
231,337.855,231.041
232,816.551,225.937
233,889.997,227.706
234,137.587,227.096
235,799.834,231.257
236,585.206,234.835
237,781.154,232.355
238,1030.495,229.349
239,37.228,238.562
240,460.664,237.689
241,611.359,234.015
242,635.962,231.448
243,119.593,237.894
244,672.213,234.079
245,568.260,242.060
246,623.247,239.943
247,651.769,240.853
248,155.595,239.829
249,317.084,243.556
250,816.774,248.796
251,431.872,250.541
252,667.215,250.902
253,682.107,250.472
254,168.850,253.295
255,606.638,253.789
256,912.224,258.113
257,795.601,252.759
258,347.170,255.526
259,18.976,256.971
260,330.315,257.784
261,555.502,257.949
262,1010.473,255.902
263,129.833,257.866
264,113.701,262.055
265,642.018,261.280
266,659.324,262.868
267,585.471,267.179
268,34.347,268.229
269,151.900,264.196
270,1080.764,266.753
271,1031.010,273.512
272,447.417,271.061
273,627.017,268.640
274,824.191,278.319
275,461.266,277.087
276,123.776,275.057
277,143.423,273.378
278,181.346,272.949
279,330.698,274.640
280,672.528,277.902
281,362.151,277.706
282,598.113,277.819
283,163.630,286.231
284,344.651,281.720
285,654.981,279.948
286,930.840,281.915
287,611.131,283.927
288,629.256,281.590
289,1081.911,284.181
290,181.768,283.327
291,577.991,284.187
292,203.555,288.892
293,443.619,289.745
294,648.414,288.915
295,142.842,287.220
296,562.536,294.120
297,599.113,291.174
298,670.943,292.616
299,1056.475,293.190
300,341.623,297.600
301,366.955,296.000
302,942.598,296.808
303,1027.872,298.868
304,577.213,299.104
305,1100.883,300.810
